Id,Predicted
John Carter ,5.953133002492906
Avengers: Age of Ultron ,7.39885273309694
Cars 2 ,6.133145906144105
Green Lantern ,6.321307662806406
Terminator Salvation ,6.329418354685395
Star Trek Beyond ,5.482525635250255
X-Men: Apocalypse ,6.160969562570785
The Dark Knight ,10.126618569106606
Up ,7.855546009074672
Monsters vs. Aliens ,5.660785600303362
Inside Out ,7.221462161315889
Wreck-It Ralph ,6.683207871906218
How to Train Your Dragon ,7.082509052153134
Terminator 3: Rise of the Machines ,5.901428832083733
Kung Fu Panda 3 ,5.488701645762442
Star Trek ,7.364189628152121
Gods of Egypt ,5.363388937149688
Turbo ,5.691867441685445
War of the Worlds ,6.750086331203544
Speed Racer ,6.005783920641748
Fantastic Four ,5.723436752693318
Real Steel ,6.671978296709262
Ender's Game ,6.1103929309122575
Kingdom of Heaven ,6.95447601136495
The Martian ,8.201567888693479
Django Unchained ,10.61724795307034
Point Break ,5.353621819652625
Surf's Up ,6.039269264481781
Finding Nemo ,8.257175448254003
Seventh Son ,5.461854087144797
Jurassic Park III ,5.827823955512145
The Girl with the Dragon Tattoo ,8.230381730113923
Alvin and the Chipmunks: The Road Chip ,5.4176350680117595
Seabiscuit ,6.6354453516206755
Enemy of the State ,6.506988891546298
It's Complicated ,6.217109273899951
The Fast and the Furious: Tokyo Drift ,5.862829735800482
Click ,6.368206542061336
Cats & Dogs: The Revenge of Kitty Galore ,5.18586942248723
Lilo & Stitch ,6.2338995205834316
RED 2 ,6.060400966988157
Zookeeper ,5.887778596110329
Déjà Vu ,6.181435240626558
What Dreams May Come ,6.199084376136371
Journey 2: The Mysterious Island ,5.830989834676168
Inspector Gadget ,5.699254139884404
Grown Ups ,6.273143459481818
Vertical Limit ,5.854297887827302
The Man from U.N.C.L.E. ,6.332947627452776
Driven ,5.772875994231959
Cars ,6.899999655255567
The SpongeBob Movie: Sponge Out of Water ,5.718218176979732
Wolf ,6.597369335640607
The Abyss ,6.754653474563303
I Spy ,5.60523671469865
The Twilight Saga: Eclipse ,6.837455389878521
Need for Speed ,6.299484144509578
Lincoln ,8.257312717346647
Death Race ,6.5250060125000235
Hudson Hawk ,5.872493355846276
Two Weeks Notice ,5.810578242018736
Days of Thunder ,6.039588987726803
The Scorch Trials ,6.087216461176355
The Family Man ,6.230869497390258
Up Close & Personal ,6.148719859895978
The Boxtrolls ,6.012404903182776
Mercury Rising ,6.002211315053345
The Last Castle ,6.160902524728722
Dark Water ,6.315857946313224
The Internship ,6.390228565539409
The Nutty Professor ,5.974520704465391
Muppets Most Wanted ,6.37600259970675
Flags of Our Fathers ,7.250299052712845
Lucky You ,6.301622055100099
Valentine's Day ,6.3018261865588645
Casino ,8.230670764481419
Robin Hood: Prince of Thieves ,6.5132804775431
Patch Adams ,6.528706477997317
22 Jump Street ,6.936702071804897
Payback ,6.065937622294037
"Crazy, Stupid, Love. ",7.307828137464214
The Game ,7.43284185077877
Into the Storm ,5.580638493358609
For Love of the Game ,6.644149476409454
The Iron Giant ,6.049201623758448
Baby's Day Out ,5.9498322059842135
Gamer ,6.104990806912002
Chappie ,6.714504914300456
The Tooth Fairy ,5.166481888025205
3:10 to Yuma ,7.229182840993785
The Thomas Crown Affair ,6.620114355710063
America's Sweethearts ,5.8563213390794155
Courage Under Fire ,6.278385432241046
The Muppets ,6.829202125010717
Blended ,6.056796258118113
The Bounty Hunter ,5.961024546449871
Pinocchio ,7.759111335592719
42 ,6.67502118753022
Vantage Point ,6.411036191626138
Shall We Dance ,5.752962173759414
The Prestige ,9.184238045706088
Gothika ,5.743156250922313
Amistad ,7.388706858566187
The Guilt Trip ,5.6190714574147975
Scream 4 ,6.281328570078179
Pay It Forward ,6.540448873058789
A Million Ways to Die in the West ,6.829021779529308
Morning Glory ,5.966587693140112
Memoirs of an Invisible Man ,5.849960982354131
Soul Men ,6.043475513910977
The Ugly Truth ,6.439038839609013
Sgt. Bilko ,5.64005887380153
The Express ,6.626417888381979
What to Expect When You're Expecting ,6.0752253034446335
Cop Out ,6.29487045236759
Hot Tub Time Machine ,6.530161139271898
Aloha ,5.85936406093876
Ghosts of Mississippi ,6.388748221215138
A Nightmare on Elm Street ,6.481000152758833
Radio ,6.366246518966386
Must Love Dogs ,5.628664688569693
The Bad News Bears ,6.405672442191501
Hot Pursuit ,5.431602359703363
Lions for Lambs ,6.704516968220334
Stigmata ,5.528202376045416
Cats Don't Dance ,6.04542098144105
The Good German ,6.890107720202819
Going the Distance ,6.018939572509191
Vacation ,6.228812587527274
The Addams Family ,6.164984536932637
Glory Road ,6.438110823409609
Sicario ,7.168798514719646
The Age of Adaline ,6.537052238325296
Little Shop of Horrors ,6.2423625273612435
Hanna ,6.637270529651972
What's the Worst That Could Happen? ,5.61254050858844
Virtuosity ,5.939441464874195
Love & Other Drugs ,6.784810469995649
88 Minutes ,6.454173030928798
Mumford ,6.281725915441166
Straight Outta Compton ,7.7283057321321245
Blade Runner ,8.0245063432085
3 Days to Kill ,5.98206214066758
The Right Stuff ,7.272913423811228
Shakespeare in Love ,6.619400382575925
Open Range ,6.871534547760818
Pain & Gain ,7.165533700341895
The Passion of the Christ ,6.766413301228569
The Best of Me ,6.042534522448876
Agent Cody Banks ,5.771602923076526
Money Talks ,5.859483779193872
There Will Be Blood ,8.203667676840539
He Got Game ,6.983563455966576
Don Juan DeMarco ,5.855898974662496
Lords of Dogtown ,6.375945363478407
Mrs. Winterbourne ,5.755595238026971
Tank Girl ,5.949524123042837
King's Ransom ,5.426413919422133
Jane Got a Gun ,5.677299861250242
Old School ,6.404765515011051
The Fisher King ,6.642156249418812
"Girl, Interrupted ",7.164550195665023
Muppets from Space ,6.138750326861055
Play It to the Bone ,6.158058037631824
I Don't Know How She Does It ,5.661114185146816
Zombieland ,7.890526533991164
Marvin's Room ,6.291821805073132
Vanity Fair ,6.444811425662353
Spaceballs ,6.666480223329471
Delivery Man ,5.827669414777709
The Conjuring ,7.045712175861324
White Chicks ,5.819757096986806
Lakeview Terrace ,6.201055571981129
Vampires Suck ,5.55568194666561
Nancy Drew ,5.822195954428697
Shorts ,5.72819489578753
Psycho ,8.008109390019667
Under the Rainbow ,6.016368543855146
The Weather Man ,6.288621234196129
Ghost Town ,6.124883087309519
We're No Angels ,5.994272435137576
People I Know ,6.078322691219683
Take Me Home Tonight ,5.92358610060549
Indignation ,6.030541797224654
Deuce Bigalow: Male Gigolo ,6.139936948428984
My Big Fat Greek Wedding 2 ,5.614791074332309
Peggy Sue Got Married ,6.252073195610079
Honey ,6.223765566839946
Small Time Crooks ,6.399446041882242
Youth in Revolt ,6.353286777896011
The Salton Sea ,6.2375005511497985
Let's Be Cops ,6.117500068796071
Good Boy! ,5.669970480895407
Lottery Ticket ,5.431336673081178
ATL ,5.609067688939247
Fur: An Imaginary Portrait of Diane Arbus ,6.639849310467178
Sense and Sensibility ,6.986042454646461
Dead Poets Society ,7.070074214477552
The Women ,5.850558738677274
Boys and Girls ,5.691636890999817
How to Deal ,5.601577638172287
Philadelphia ,7.003850388327376
Why Did I Get Married? ,5.6983772545631695
The Great Debaters ,6.569161591762425
The Object of My Affection ,6.082931825498427
When the Game Stands Tall ,6.070863446853026
The Place Beyond the Pines ,7.636846658536668
One Day ,6.64476321912701
The Midnight Meat Train ,6.05166273388042
The Good Night ,5.746385989630318
Pretty Woman ,7.102807598199257
My Bloody Valentine ,5.777476613551856
Stomp the Yard ,6.126029604353931
Poetic Justice ,6.509604156639086
Thinner ,5.8756567906858095
Margaret ,6.931498010786168
Justin Bieber: Never Say Never ,7.275131005047245
10 Things I Hate About You ,6.410314241769918
Loaded Weapon 1 ,5.718852920076313
Admission ,5.842862727392108
Antwone Fisher ,6.503673651702166
The Exorcist ,7.380221624580963
Jaws ,8.892145647190675
Act of Valor ,6.143313401886985
Harold & Kumar Escape from Guantanamo Bay ,6.454019243486251
Max Keeble's Big Move ,5.71491904302065
Sorority Boys ,5.7772426470522715
For Your Consideration ,5.757028899840132
Running with Scissors ,6.138610670782093
The Pursuit of D.B. Cooper ,6.3056045074199725
The Dangerous Lives of Altar Boys ,5.941450113606537
Tomcats ,5.8841843323640175
Inside Llewyn Davis ,7.660929572329729
September Dawn ,6.2527478805706025
Good Will Hunting ,8.58453470933654
Saw III ,6.031227521159537
Commando ,6.314867676159688
Pete's Dragon ,5.475176057280784
The Long Riders ,6.277396220190465
Seeking a Friend for the End of the World ,6.835914393079995
Rescue Dawn ,6.533000205848587
The Forest ,5.087599460434888
The Joneses ,6.131958935753306
Rosewater ,6.354716225898686
Elsa & Fred ,5.39066641609191
Eulogy ,5.83908124319986
Next Friday ,6.051709471279334
Re-Kill ,5.27007551527586
Fiddler on the Roof ,7.732744610058595
Detention ,5.883165345470616
The Sound of Music ,8.309015628439756
Drive Me Crazy ,5.700849714162935
The Wendell Baker Story ,5.582285088644064
Witless Protection ,5.44960695103997
The Godfather ,10.487769445257188
Who's Your Caddy? ,5.430266373136385
Redbelt ,6.462646732770261
Stargate: The Ark of Truth ,5.593435691935022
Dazed and Confused ,6.666050852613182
Bernie ,6.256836756468785
Ouija ,5.620160733194553
"20,000 Leagues Under the Sea ",7.31396194186731
Oculus ,5.989441433919531
"As Above, So Below ",5.509233780891755
Friday the 13th Part VIII: Jason Takes Manhattan ,6.481875408606621
Diner ,6.551526862492898
The Forsaken ,5.2076286085191885
Rabbit Hole ,6.453525353248042
Green Room ,6.616598971528352
Dead Like Me: Life After Death ,5.6759362466918395
Capricorn One ,6.435220412595528
Hostel ,5.775533931120728
25th Hour ,7.317603493289355
Silent Movie ,6.30944404996832
Hansel & Gretel Get Baked ,5.654147082545096
The Front Page ,6.420157746162537
The Rules of Attraction ,6.2715077200653955
Topaz ,7.0668861559996055
Samsara ,6.852395741037614
Trust ,6.1606820418799435
Another Happy Day ,5.86781426270001
Midnight Cowboy ,7.278225121760985
The Nun's Story ,7.453093186590361
