Id,Predicted
John Carter ,5.902122745262268
Avengers: Age of Ultron ,7.393170612923987
Cars 2 ,6.160302216459701
Green Lantern ,6.296508165671247
Terminator Salvation ,6.277711463028613
Star Trek Beyond ,5.448289680220422
X-Men: Apocalypse ,6.119931773918838
The Dark Knight ,10.080312047560268
Up ,7.9107410415057915
Monsters vs. Aliens ,5.651241975324659
Inside Out ,7.290451965073018
Wreck-It Ralph ,6.716755717151655
How to Train Your Dragon ,7.113142380214807
Terminator 3: Rise of the Machines ,5.812398176988763
Kung Fu Panda 3 ,5.449684402118536
Star Trek ,7.334920798934246
Gods of Egypt ,5.308867369829593
Turbo ,5.6960622186276195
War of the Worlds ,6.70182490966768
Speed Racer ,5.942703543716393
Fantastic Four ,5.668898376233232
Real Steel ,6.654759735106275
Ender's Game ,6.061956248615937
Kingdom of Heaven ,6.935274493973608
The Martian ,8.255491028729361
Django Unchained ,10.699791951277346
Point Break ,5.314312301512546
Surf's Up ,6.056464456165246
Finding Nemo ,8.332000208787125
Seventh Son ,5.41800056919293
Jurassic Park III ,5.780137605003147
The Girl with the Dragon Tattoo ,8.289207441315064
Alvin and the Chipmunks: The Road Chip ,5.413857767006246
Seabiscuit ,6.66065963371974
Enemy of the State ,6.50834822110524
It's Complicated ,6.2466844372497485
The Fast and the Furious: Tokyo Drift ,5.821479651327133
Click ,6.393899137940051
Cats & Dogs: The Revenge of Kitty Galore ,5.128367322392544
Lilo & Stitch ,6.2728328833618265
RED 2 ,6.044842182010994
Zookeeper ,5.883822273985355
Déjà Vu ,6.179333970569794
What Dreams May Come ,6.181735564241534
Journey 2: The Mysterious Island ,5.820342196795
Inspector Gadget ,5.6657061147093986
Grown Ups ,6.289199669244505
Vertical Limit ,5.82713647483164
The Man from U.N.C.L.E. ,6.304837675345411
Driven ,5.729459267003837
Cars ,6.939754456365375
The SpongeBob Movie: Sponge Out of Water ,5.731281848247498
Wolf ,6.633045691550152
The Abyss ,6.775332237017039
I Spy ,5.580148638196461
The Twilight Saga: Eclipse ,6.885886435841493
Need for Speed ,6.2789749721414605
Lincoln ,8.315387503912548
Death Race ,6.4991664325433165
Hudson Hawk ,5.838788317488576
Two Weeks Notice ,5.811140032843675
Days of Thunder ,6.022714527744771
The Scorch Trials ,6.053268310504189
The Family Man ,6.259708575972539
Up Close & Personal ,6.150795717624671
The Boxtrolls ,6.021216430943667
Mercury Rising ,5.985690171439446
The Last Castle ,6.130882379034407
Dark Water ,6.317744748285948
The Internship ,6.386616772094556
The Nutty Professor ,6.003607552042677
Muppets Most Wanted ,6.394360907522024
Flags of Our Fathers ,7.2702519333769144
Lucky You ,6.303912885308178
Valentine's Day ,6.322870573794342
Casino ,8.256742082629941
Robin Hood: Prince of Thieves ,6.502717633683293
Patch Adams ,6.532027148097491
22 Jump Street ,6.948414601380431
Payback ,6.047220523740519
"Crazy, Stupid, Love. ",7.348974439908544
The Game ,7.4619012669463
Into the Storm ,5.531489361207066
For Love of the Game ,6.6528816717545185
The Iron Giant ,6.026652613683741
Baby's Day Out ,5.952673057452533
Gamer ,6.078519030548541
Chappie ,6.697957794392886
The Tooth Fairy ,5.175049545379706
3:10 to Yuma ,7.2554404785180955
The Thomas Crown Affair ,6.630966628877909
America's Sweethearts ,5.856696136567406
Courage Under Fire ,6.289630531273437
